,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
0,ACURA,ILX,2.0,AS5,4.0,9.8,6.7,8.4,193.5
1,ACURA,ILX,2.4,AM8,4.0,9.58,6.840000000000001,8.34,194.2
2,ACURA,ILX,2.4,M6,4.0,11.0,7.550000000000001,9.45,217.5
3,ACURA,ILX HYBRID,1.5,CVT,4.0,6.0,5.949999999999999,6.0,138.0
4,ACURA,MDX 4WD,3.5,AS6,6.0,12.7,9.1,11.1,255.0
5,ACURA,MDX HYBRID AWD,3.0,AM7,6.0,9.1,9.0,9.0,210.0
6,ACURA,MDX Hybrid AWD,3.0,AM7,6.0,9.1,9.0,9.0,210.0
7,ACURA,MDX SH-AWD,3.5,AS6,6.0,12.7,9.1,11.1,255.0
8,ACURA,MDX SH-AWD,3.5,AS9,6.0,12.479999999999999,9.059999999999999,10.96,255.6
9,ACURA,MDX SH-AWD A-SPEC,3.5,AS9,6.0,12.2,9.5,11.0,258.0
10,ACURA,MDX SH-AWD ELITE,3.5,AS9,6.0,12.199999999999998,9.033333333333333,10.699999999999998,251.0
11,ACURA,NSX,3.5,AM9,6.0,11.1,10.800000000000002,11.0,261.0
12,ACURA,RDX AWD,2.0,AS10,4.0,11.0,8.6,9.9,232.0
13,ACURA,RDX AWD,3.5,AS6,6.0,12.28,8.680000000000001,10.66,247.4
14,ACURA,RDX AWD A-SPEC,2.0,AS10,4.0,11.3,9.1,10.3,241.5
15,ACURA,RLX,3.5,AS6,6.0,11.9,7.7,10.0,231.66666666666666
16,ACURA,RLX HYBRID,3.5,AM7,6.0,8.15,7.75,7.975,185.75
17,ACURA,RLX Hybrid,3.5,AM7,6.0,8.4,8.2,8.4,196.0
18,ACURA,TL,3.5,AS6,6.0,11.8,8.1,10.1,232.0
19,ACURA,TL AWD,3.7,AS6,6.0,12.8,9.0,11.1,255.0
20,ACURA,TL AWD,3.7,M6,6.0,13.4,9.5,11.6,267.0
21,ACURA,TLX,2.4,AM8,4.0,9.76,6.8,8.459999999999999,198.8
22,ACURA,TLX,3.5,AS9,6.0,11.2,6.9,9.2,212.0
23,ACURA,TLX A-SPEC,2.4,AM8,4.0,10.2,7.400000000000001,8.9,209.0
24,ACURA,TLX SH-AWD,3.5,AS9,6.0,11.299999999999999,7.6000000000000005,9.699999999999998,226.16666666666666
25,ACURA,TLX SH-AWD A-SPEC,3.5,AS9,6.0,12.0,8.2,10.3,240.0
26,ACURA,TLX SH-AWD A-SPEC/Limited Edition,3.5,AS9,6.0,12.0,8.2,10.3,240.0
27,ACURA,TSX,2.4,AS5,4.0,10.6,7.5,9.2,212.0
28,ACURA,TSX,2.4,M6,4.0,11.2,8.1,9.8,225.0
29,ACURA,TSX,3.5,AS5,6.0,12.1,8.3,10.4,239.0
30,ALFA ROMEO,4C,1.8,AM6,4.0,9.7,6.9,8.4,195.0
31,ALFA ROMEO,4C COUPE,1.8,AM6,4.0,9.7,6.9,8.4,197.0
32,ALFA ROMEO,4C Coupe,1.8,AM6,4.0,9.7,6.9,8.4,197.0
33,ALFA ROMEO,4C SPIDER,1.8,AM6,4.0,9.7,6.9,8.4,197.0
34,ALFA ROMEO,4C Spider,1.8,AM6,4.0,9.7,6.9,8.4,197.0
35,ALFA ROMEO,GIULIA,2.0,A8,4.0,10.0,7.2,8.7,205.0
36,ALFA ROMEO,GIULIA AWD,2.0,A8,4.0,10.5,7.7,9.2,217.0
37,ALFA ROMEO,GIULIA QUADRIFOGLIO,2.9,A8,6.0,13.8,9.6,11.9,280.0
38,ALFA ROMEO,Giulia,2.0,A8,4.0,10.0,7.2,8.7,205.0
39,ALFA ROMEO,Giulia AWD,2.0,A8,4.0,10.5,7.7,9.2,217.0
40,ALFA ROMEO,Giulia Quadrifoglio,2.9,A8,6.0,13.65,9.45,11.75,275.5
41,ALFA ROMEO,STELVIO AWD,2.0,A8,4.0,10.8,8.3,9.6,226.0
42,ALFA ROMEO,STELVIO QUADRIFOGLIO,2.9,A8,6.0,14.1,10.4,12.4,292.0
43,ALFA ROMEO,Stelvio,2.0,A8,4.0,10.3,8.1,9.3,218.0
44,ALFA ROMEO,Stelvio AWD,2.0,A8,4.0,10.8,8.3,9.6,226.0
45,ALFA ROMEO,Stelvio AWD Quadrifoglio,2.9,A8,6.0,14.0,10.350000000000001,12.350000000000001,290.0
46,ASTON MARTIN,DB11 AMR,5.2,A8,12.0,15.5,10.6,13.3,312.0
47,ASTON MARTIN,DB11 V12,5.2,A8,12.0,15.5,11.4,13.7,322.0
48,ASTON MARTIN,DB11 V8,4.0,A8,8.0,13.0,9.8,11.5,271.0
49,ASTON MARTIN,DB9,5.9,A6,12.0,18.0,12.6,15.6,359.0
50,ASTON MARTIN,DB9 GT,5.9,A6,12.0,18.0,12.6,15.6,365.0
51,ASTON MARTIN,DBS Superleggera,5.2,A8,12.0,16.4,10.7,13.8,324.0
52,ASTON MARTIN,RAPIDE,5.9,A6,12.0,18.0,12.6,15.6,359.0
53,ASTON MARTIN,RAPIDE S,6.0,A8,12.0,16.75,10.9,14.15,330.5
54,ASTON MARTIN,Rapide AMR,6.0,A8,12.0,16.7,10.9,14.1,332.0
55,ASTON MARTIN,V12 VANTAGE S,6.0,AM7,12.0,19.466666666666665,12.800000000000002,16.466666666666665,385.6666666666667
56,ASTON MARTIN,V12 VANTAGE S,6.0,M7,12.0,23.2,14.4,19.2,450.0
57,ASTON MARTIN,V8 VANTAGE,4.7,AM7,8.0,17.4,11.300000000000002,14.699999999999998,339.6666666666667
58,ASTON MARTIN,V8 VANTAGE,4.7,M6,8.0,18.1,12.266666666666666,15.466666666666667,357.3333333333333
59,ASTON MARTIN,V8 VANTAGE S,4.7,AM7,8.0,17.4,11.300000000000002,14.699999999999998,339.6666666666667
60,ASTON MARTIN,V8 VANTAGE S,4.7,M6,8.0,18.1,12.266666666666666,15.466666666666667,357.3333333333333
61,ASTON MARTIN,VANQUISH,5.9,A6,12.0,18.0,12.6,15.6,359.0
62,ASTON MARTIN,VANQUISH,6.0,A8,12.0,17.55,11.4,14.75,344.25
63,ASTON MARTIN,VANTAGE GT,4.7,AM7,8.0,17.4,11.3,14.7,340.5
64,ASTON MARTIN,VANTAGE GT,4.7,M6,8.0,18.1,12.3,15.5,359.0
65,ASTON MARTIN,Vanquish Zagato,6.0,A8,12.0,17.5,11.4,14.7,346.0
66,ASTON MARTIN,Vantage V8,4.0,A8,8.0,12.899999999999999,9.5,11.35,267.0
67,ASTON MARTIN,Vantage V8,4.0,M7,8.0,16.7,11.2,14.2,333.0
68,AUDI,A3,1.8,AM6,4.0,10.0,7.1,8.7,202.0
69,AUDI,A3,2.0,AM7,4.0,9.024999999999999,6.725,7.9750000000000005,186.5
70,AUDI,A3 CABRIOLET QUATTRO,2.0,AM6,4.0,10.45,7.75,9.2,214.75
71,AUDI,A3 Cabriolet quattro,2.0,AM7,4.0,10.75,7.95,9.5,222.5
72,AUDI,A3 QUATTRO,2.0,AM6,4.0,9.75,7.35,8.649999999999999,202.25
73,AUDI,A3 TDI (modified),2.0,AM6,4.0,7.6,5.5,6.5,177.0
74,AUDI,A3 quattro,2.0,AM7,4.0,10.850000000000001,7.95,9.55,224.5
75,AUDI,A4,2.0,AM7,4.0,8.6,6.65,7.699999999999999,179.5
76,AUDI,A4,2.0,CVT,4.0,9.9,7.533333333333334,8.866666666666667,206.33333333333334
77,AUDI,A4 ALLROAD QUATTRO,2.0,AM7,4.0,10.35,8.100000000000001,9.3,217.0
78,AUDI,A4 ALLROAD QUATTRO,2.0,AS8,4.0,11.2,8.4,9.9,230.0
79,AUDI,A4 QUATTRO,2.0,AM7,4.0,9.9,7.35,8.75,204.0
80,AUDI,A4 QUATTRO,2.0,AS8,4.0,11.166666666666666,7.8999999999999995,9.733333333333334,225.0
81,AUDI,A4 QUATTRO,2.0,M6,4.0,10.36,7.24,8.959999999999999,209.0
82,AUDI,A4 ULTRA,2.0,AM7,4.0,8.6,6.4,7.6,177.0
83,AUDI,A4 allroad quattro,2.0,AM7,4.0,10.35,7.7,9.15,213.5
84,AUDI,A4 quattro,2.0,AM7,4.0,10.0,7.15,8.75,204.5
85,AUDI,A5 CABRIOLET QUATTRO,2.0,AM7,4.0,10.0,7.0,8.7,203.0
86,AUDI,A5 CABRIOLET QUATTRO,2.0,AS8,4.0,11.350000000000001,8.075,9.875,229.0
87,AUDI,A5 Cabriolet quattro,2.0,AM7,4.0,10.0,7.2,8.75,205.0
88,AUDI,A5 QUATTRO,2.0,AM7,4.0,10.0,7.0,8.7,203.0
89,AUDI,A5 QUATTRO,2.0,AS8,4.0,11.125,7.925,9.725000000000001,225.25
90,AUDI,A5 QUATTRO,2.0,M6,4.0,10.459999999999999,7.3,9.040000000000001,210.2
91,AUDI,A5 SPORTBACK QUATTRO,2.0,AM7,4.0,10.0,7.0,8.7,203.0
92,AUDI,A5 Sportback quattro,2.0,AM7,4.0,10.0,7.15,8.75,204.5
93,AUDI,A5 quattro,2.0,AM7,4.0,10.0,7.15,8.75,204.5
94,AUDI,A6 QUATTRO,2.0,AS8,4.0,11.26,7.7,9.66,223.8
95,AUDI,A6 QUATTRO,3.0,AS8,6.0,12.040000000000001,8.3,10.34,241.4
96,AUDI,A6 QUATTRO TDI (modified),3.0,AS8,6.0,9.666666666666666,6.2,8.0,215.66666666666666
97,AUDI,A6 allroad,3.0,AM7,6.0,11.8,9.1,10.6,247.0
98,AUDI,A6 quattro,2.0,AM7,4.0,9.8,7.4,8.7,205.0
99,AUDI,A6 quattro,3.0,AM7,6.0,10.8,8.2,9.649999999999999,225.0
100,AUDI,A7 QUATTRO,3.0,AS8,6.0,12.2,8.26,10.42,244.0
